Genes,control_1,control_2,Nutlin_1,Nutlin_2
CORO7,550,428,663,360
CHPF,4587,3603,7163,4104
CARS2,548,460,517,348
RNF128,19,9,22,9
MRPL24,1503,1451,1679,955
ARMH3,1193,1198,1483,1007
MUL1,644,567,669,417
SAP130,1514,1466,1441,972
OBI1,246,239,128,95
CEP97,425,486,237,203
TCTN1,457,370,447,314
ADIPOR2,3848,4406,4230,3482
CERS4,50,49,72,67
PGBD5,128,167,127,171
FAM118B,1148,1085,1243,788
RIC3,9,8,25,8
VCPKMT,323,281,322,178
ACSS3,316,229,629,354
NAA16,640,601,565,382
TANGO6,324,357,361,242
CCNJL,215,234,380,341
HMBOX1,749,752,1134,902
RNASEH2B,405,357,291,188
SNRNP25,2911,2929,1776,1172
GALNT14,945,720,581,344
ARMT1,5930,6191,5804,4344
OGFRL1,1709,1797,2817,2274
SH3TC2,11,32,76,66
OCEL1,93,76,235,104
C1orf54,11,4,10,6
EFL1,705,705,1130,644
FAM184A,49,71,34,42
FAT4,8,4,39,39
SCRN3,518,487,848,473
CCDC121,87,105,109,73
ARMC7,315,302,411,254
TMEM53,64,66,218,140
C22orf46,566,524,740,468
ROGDI,1525,1340,1932,1140
ARSJ,15,14,22,23
CHMP6,447,407,623,356
SRD5A3,690,593,1055,600
PANK3,6309,6331,6717,4944
AKIRIN1,1597,1626,2252,1475
MCPH1,439,477,482,306
MAP7D3,453,431,631,422
AIMP2,1285,1178,1226,704
USB1,795,673,945,600
RHBDF2,624,495,871,463
TMEM204,3,5,3,7
HECTD3,779,708,1405,857
RPAP3,1592,1715,1438,930
ARHGAP10,980,950,1219,719
DYNC2H1,476,420,527,499
PPP1R3B,939,844,4205,2058
NEIL1,355,297,579,374
HSPBAP1,69,65,98,47
ICE2,911,930,961,598
DHX40,3249,3301,4358,2896
PLEKHF2,2473,2424,4499,2865
KLF3-AS1,20,16,43,23
PARP8,387,438,564,444
C3orf52,57,39,178,79
TUT7,1073,1070,1863,1197
NLRX1,92,104,264,168
FN3KRP,1081,1041,526,350
ZNF329,241,237,474,299
VEPH1,73,150,47,60
FASTKD1,571,525,650,371
OGFOD2,590,548,813,482
SMC6,1717,1818,1151,742
VTCN1,2,5,30,9
RTL10,1113,1225,1369,1138
CENPU,1445,1515,156,164
ZDHHC14,192,180,153,110
MSANTD2,182,224,171,162
SAP30L,758,717,941,572
STEAP4,13,14,19,15
QTRT2,1290,1235,1087,680
ZNF322,263,307,458,330
YRDC,1034,912,955,529
MANEA,363,385,234,203
GALNT12,559,399,641,264
ZC2HC1C,28,38,41,25
RIOX1,882,855,780,489
ZMAT4,27,8,43,9
ZYG11B,1331,1253,1823,1184
OGFOD3,773,687,767,471
C11orf80,327,336,410,267
LRRK1,54,45,99,75
PRKRIP1,247,225,305,213
NOL9,777,588,784,388
COLGALT1,1998,1647,971,664
MORC4,1205,1188,1087,698
IPO4,7883,6486,5961,3882
GTDC1,150,142,196,132
IGFLR1,98,87,33,15
CCDC51,329,261,305,180
NPEPL1,1180,1097,2343,1386
PPCS,932,836,1661,873
TBL1XR1,1661,1558,1542,949
AAGAB,2933,2854,3850,2335
VPS37B,1230,1046,1682,989
SUV39H2,909,916,497,337
ZNF768,2672,2407,2518,1565
THAP9,152,135,115,69
WDR59,1765,1635,3262,2006
PALB2,625,605,529,342
SH3D21,270,196,263,150
NSUN7,331,335,375,271
NARS2,1084,945,981,580
E2F8,883,933,101,102
KCTD17,252,251,349,285
TBC1D17,672,661,1098,617
TEFM,197,204,217,134
BBS10,462,513,666,510
TTLL7,43,53,40,42
CCDC7,122,123,166,82
ZNF419,118,114,200,138
CLIP4,23,30,219,155
ECHDC3,207,203,215,92
LMAN1L,3,9,17,8
MAFK,1080,1071,1446,972
SLC25A22,972,776,757,408
ZFAND1,636,567,610,357
SNIP1,464,518,803,443
ASB13,826,805,720,607
ZNF750,81,50,310,172
DHRS12,83,66,171,136
ZNF668,450,410,533,395
FZD3,900,873,1165,684
GEMIN7,463,408,617,325
C1orf115,363,359,748,447
ISOC2,1773,1526,1820,1127
ELMO3,138,111,140,82
KATNBL1,578,574,509,402
TXNDC15,957,974,1029,682
MCTP1,12,15,7,5
GRTP1,587,582,819,480
ACBD4,123,87,253,163
MICALL2,1119,939,1790,1005
MTERF1,268,286,395,232
CCDC82,5,17,5,8
SUGCT,3,1,72,36
MYH14,4769,4493,10624,7465
RERGL,127,124,91,67
KLHL36,2409,2311,3276,2299
ZNF665,17,24,30,17
CLMN,993,952,2575,1157
SEM1,1820,1747,2302,1332
FBXO31,1197,1134,1163,731
GSDMD,383,335,427,266
SPRING1,2465,2358,3646,2211
ALG9,414,414,458,298
ZNF408,575,501,668,410
ARMC5,553,452,722,413
TFPI2,8,4,5,6
CARF,70,77,137,82
SHCBP1,1794,1807,131,131
HHIPL2,54,50,126,61
HPS6,965,829,1003,672
VASH2,50,53,29,31
GSTCD,1014,1047,520,367
TTC21B,539,606,405,315
PTCD2,624,520,555,313
SLTM,3040,3125,3446,2397
MMRN2,401,326,816,496
EHMT1,3505,3338,4031,2750
AGMAT,352,293,329,205
NIPAL2,963,894,2466,1432
TLE6,20,25,86,42
MOB3B,6,6,6,4
ZNF552,376,394,1003,681
DNAI4,23,20,27,13
ST7,512,600,497,311
CATSPERB,4,15,22,10
CAMKMT,191,176,230,135
EFCC1,6,8,12,3
CLMP,5,14,11,8
METTL8,727,686,1085,602
NAA40,758,881,763,578
ZMYM1,452,442,287,240
KDM8,115,80,104,82
QSER1,2823,2665,2433,1754
GEMIN6,588,600,504,286
PEAK1,918,1026,1005,754
LONRF3,87,30,180,33
PIP4K2C,2921,2767,3889,2313
TMC5,215,194,300,189
ARHGEF5,818,807,1051,647
NHEJ1,382,429,263,189
AGBL2,32,22,61,40
ZBTB3,149,128,207,125
ZDHHC11,83,84,179,129
RNF122,53,37,65,39
CFAP69,3,4,6,14
MFSD13A,581,566,686,493
CSPP1,306,354,283,182
TLCD3A,339,296,256,120
EPHX3,11,4,4,9
LINC00115,18,19,28,17
SNX22,3173,2784,3370,2214
FLJ13224,9,3,7,6
NEK11,58,68,91,72
ZNF669,87,147,166,108
RBFA,1063,995,779,513
JHY,156,167,251,195
BORA,301,292,109,77
TCTN2,164,181,116,108
ALG13,787,707,1055,637
CPSF7,2802,2682,2611,1753
RPAP2,438,419,623,458
CBLL1,856,820,896,552
NUDT18,154,175,406,252
RABEP2,814,813,1151,713
THSD4,1647,1145,4856,2780
UBA5,1071,1096,1205,755
DCAKD,356,292,449,294
CCDC134,434,431,428,354
ZNF212,281,273,428,267
ZC3H14,2504,2532,2856,1818
PODNL1,16,19,33,31
MAP9,458,520,834,548
HDAC11,767,699,1531,910
CAAP1,508,398,560,337
PLBD1,2068,1937,2337,1353
LPCAT1,3005,3145,5971,4181
RIN3,130,106,248,127
ZNF671,2,4,8,4
MCMBP,3124,3051,1622,1008
GGNBP2,1013,1022,1384,826
ZNF672,204,212,368,208
THNSL1,578,557,805,528
RPP21,293,288,274,140
ZNF613,132,187,273,201
PRR5L,51,32,27,22
CYBRD1,149,154,120,58
NUP85,1603,1630,870,589
NAA60,2152,2064,2892,1739
TMC7,334,285,1089,536
MORN1,85,95,133,94
TUSC3,2195,2202,2814,1792
PYROXD1,379,333,470,246
ACTR5,270,253,269,150
ATAD5,430,420,62,37
MAGIX,109,110,107,76
SETD6,757,800,791,582
MAB21L4,28,25,38,17
TCEAL4,2220,2143,3795,2302
MRM1,281,219,273,157
ADM2,270,190,357,97
SPEF2,36,45,96,64
MAP6D1,289,309,455,476
UBXN8,366,311,414,215
DOK3,153,133,113,77
KIAA0319L,1004,936,1850,1132
SYNPO2L,7,12,32,34
COQ8B,425,381,628,387
CCNP,40,19,122,47
CNTNAP3,23,17,23,16
SLC35E1,2786,2764,4203,2764
KAT6A,1685,1668,1597,1090
LINC00472,12,23,53,49
ZNF696,426,405,415,273
L2HGDH,1373,1312,1014,629
C10orf95,95,77,68,42
DHDDS,600,542,792,508
PLPPR3,1822,1616,1208,769
PLEKHS1,11,12,54,22
SYNDIG1,102,212,90,137
NOL10,1874,1830,1706,1079
PDZD7,48,45,52,40
ERMP1,4168,3895,6789,4082
PAQR6,134,126,426,296
DENND1C,227,240,565,270
CEP76,251,260,233,161
JADE1,927,947,376,302
DENND2D,913,880,1840,1143
DNAJC22,566,474,675,345
ABCA11P,185,183,240,151
SCD5,207,312,677,544
WDR76,600,611,47,44
ATAT1,229,238,457,280
ZNF767P,207,242,438,306
ZNF442,109,98,130,76
GRHL2,4180,4454,6436,4592
TRMT2B,1094,1020,1308,733
DSN1,1021,1003,210,193
DNAJB14,977,944,1268,849
POF1B,1132,1010,824,629
ZNF702P,77,91,156,134
SVEP1,40,49,61,52
TTC26,313,310,272,175
PLEKHH3,959,834,1117,785
STN1,795,658,1671,954
ELOVL7,2004,1919,1792,980
ANKRD53,431,409,484,311
CALD1,170,137,731,385
PSCA,44,29,282,137
GREB1L,198,226,182,136
PCNX2,133,133,342,206
ESRP2,6690,6161,8550,5485
DOCK5,2623,2860,4517,3703
TRAPPC13,755,822,906,607
C10orf88,219,206,310,182
GLRA3,9,4,4,8
RMI1,1314,1271,601,369
PSME3IP1,1104,1058,1288,736
PHC3,1950,1887,2152,1514
MINDY3,559,548,978,646
WWC2,794,780,929,667
DGLUCY,19,36,143,84
NAA25,2416,2282,2255,1495
UBTD1,152,140,358,293
FOXRED2,1137,1028,599,365
TMEM62,345,348,357,208
MYO15B,185,176,1176,750
NRSN2,117,105,180,112
SLC8B1,308,259,350,192
PANK2,949,941,1286,774
FBXL18,1267,1205,2017,1367
SEMA6D,15,26,14,14
CSRNP3,3,4,16,9
ANP32A-IT1,2,3,2,8
FAM106A,6,4,7,2
GPR157,654,690,670,399
CEBPA-DT,85,85,102,65
PGAP1,595,571,756,552
ATF7IP2,211,245,251,219
DCAF17,535,529,595,379
LINC00574,5,3,2,2
CCDC15,103,92,15,14
HEXA-AS1,22,31,102,52
TUBA4B,11,9,6,5
ZNF606,99,134,218,190
MZT2B,1783,1593,1524,927
CALM1,16612,16717,18349,12725
ZFP2,9,10,33,19
ZNF614,583,596,610,427
BAIAP2L2,9,10,41,29
PIF1,444,409,9,8
VCPIP1,462,440,608,452
BBOF1,285,245,338,201
TRIM46,46,47,59,26
CCDC170,534,513,1206,703
NR4A3,126,83,127,63
LRRC8E,516,497,851,587
RPF1,869,866,1182,650
ZNF703,3734,2989,3735,2396
PTGES2,3906,3293,3362,1988
SIKE1,3423,3467,3865,2601
FRAS1,24,18,16,21
THOC7,7781,7460,8675,5336
UXS1,1059,1103,1496,937
SLC66A2,434,406,352,258
ZC3H12A,219,222,356,197
ASRGL1,238,204,94,68
CENPT,938,1015,868,601
EDC3,1623,1521,1949,1166
GOLGA2P10,385,371,487,298
NAA15,4671,4725,4068,2505
ASMTL-AS1,185,159,260,193
PGGHG,418,357,498,346
PRR36,702,682,749,541
ABHD18,309,276,281,182
CTC1,506,521,675,465
IFT74,266,281,386,272
DBF4B,371,380,53,53
SPSB1,266,293,317,222
TEDC2,325,345,24,23
MYO19,1788,1556,630,418
RUBCNL,7,7,114,82
CEP290,461,443,578,407
TTI2,767,758,627,455
BRD3,1677,1593,2060,1390
TMEM134,581,470,873,516
TMEM254,502,602,801,481
RNF34,1180,1109,1228,732
MUS81,751,659,814,477
FUZ,244,189,295,200
FBXO11,2080,2023,2677,1739
CHD9,1038,1151,1423,1196
FHOD3,3,5,2,3
OPA3,871,880,1110,705
SPG11,1677,1450,2915,1884
PROSER1,2458,2231,2448,1487
NUP214,2429,2416,1955,1391
ARMC9,442,504,594,464
CCDC92,308,411,610,496
TM2D3,497,469,596,342
ALPK1,249,227,206,131
CFAP43,3,7,8,3
NAA50,11004,10220,10626,6774
COQ10B,1113,1034,2340,1398
LHX3,6,8,6,4
ACSF2,212,207,312,232
TARS2,1163,979,1021,606
RAB11FIP1,1633,1635,2877,1636
NUBPL,205,224,277,179
PAAF1,835,768,876,558
ORAI2,479,471,781,533
RUFY1,1187,1136,1390,884
WDR26,3068,3141,4688,3132
FAAP100,1047,884,1047,657
PIGZ,135,132,142,105
ELL3,323,255,560,316
CEP63,529,574,596,357
SLC35F5,2328,2195,3177,1908
FAM214B,200,179,645,370
EFHC2,7,3,10,8
PHAF1,495,491,855,495
TRIM45,313,365,262,203
ZNF430,316,306,256,195
EDEM3,1844,1706,2319,1497
STAM,1226,1173,1228,843
HSD3B7,504,455,618,413
ITPKC,677,590,1150,726
GRPEL1,1972,1800,1776,1052
SCUBE1,2,1,12,8
CDK5RAP3,3487,2981,5600,3190
MLLT10,1418,1482,1493,1067
MTERF2,432,420,757,543
CCDC6,4243,4429,6290,4015
PLEKHO2,161,149,140,117
EFHD1,18,13,11,9
WDCP,294,305,257,217
TRABD,905,728,722,468
MED28,1017,1061,1240,965
FER1L4,193,143,658,419
FLAD1,1094,911,1076,676
NCOA4,4068,3826,7100,4047
KLHL15,210,213,142,113
TET1,215,281,246,197
LRRC27,122,143,206,157
EPC1,556,528,943,565
CPEB4,279,289,893,584
ZKSCAN3,67,77,108,89
GKAP1,125,155,117,93
CXXC4,2,5,2,3
SP6,335,405,242,158
CEP70,674,630,681,399
CCDC68,106,128,170,107
PUS1,2179,1758,1817,1038
ABTB1,106,75,215,110
ULBP2,117,113,155,88
ULBP1,170,131,97,54
DNAJC5,4532,4104,6539,3592
KCNIP4,27,20,21,16
WDR82,2857,2780,2945,1818
PABPC1L,951,806,1293,782
PNPLA3,20,16,41,17
SLC25A16,284,304,635,333
TRAF3IP3,11,11,9,7
DCAF11,2130,2043,3298,1897
ZSCAN16,103,111,245,159
REEP4,1923,1683,1186,761
COASY,968,835,1147,806
WDR61,2244,2288,2983,1891
TNKS2,2467,2504,3587,2515
RNF39,55,47,175,77
SHOC2,1593,1561,1882,1224
ADAM12,2,0,3,6
CD276,4490,4194,4460,3265
RASSF7,529,602,586,431
CALM2,10567,10408,7153,4386
PDHX,1501,1436,1483,848
FOSL1,48,24,475,197
CUL5,1111,1175,1568,1063
UBXN6,825,848,1625,1034
TSGA10,126,124,178,113
AKNA,345,318,489,332
PBX4,14,9,15,11
SLC35G2,4,3,3,2
ACAD10,582,616,1192,736
SRCIN1,271,249,577,309
IQCN,10,9,85,60
TTYH3,905,868,1653,926
ARHGAP39,1302,1052,1115,654
PTP4A2,3775,3599,3996,2280
SLC44A4,3,3,2,4
VWA7,16,26,16,15
MPIG6B,11,11,20,14
LY6G6C,13,4,24,20
LY6G5C,59,60,94,70
PRR3,358,295,271,162
THUMPD2,206,244,295,172
TSEN2,513,468,441,276
AARSD1,197,161,195,103
TMEM121,203,200,101,91
PRR7,664,542,778,469
KHDC1,85,91,103,70
NDFIP1,2882,2693,3396,2198
THAP7,346,342,240,176
STARD5,108,120,122,87
CPTP,522,440,525,327
LIMD2,92,106,148,78
TMEM177,411,358,374,256
B9D2,71,58,102,57
CYB5B,4535,4403,4243,2647
ZNF34,142,142,139,87
USP5,6549,6212,6042,3956
COL18A1,1026,928,1204,1093
INTS5,1127,945,1100,704
MLF2,7377,6492,11750,6783
CMIP,1938,1764,1924,1195
CALM3,9160,9100,7184,4482
CEP44,162,141,83,60
ZNF436,370,373,598,427
SSPN,36,17,54,34
EEPD1,53,57,32,7
DDHD1,1220,1143,1360,1052
BHLHB9,47,36,90,65
DUSP16,2365,2083,5042,2966
ZFP91,2599,2567,2789,1812
APOL6,158,116,277,128
APOL3,56,21,114,38
KMT2D,4064,4425,4187,4546
SH3BP5L,452,466,651,474
GRIP2,350,450,551,507
KDM7A,244,265,455,328
SETD7,6628,5848,7778,4999
LNPK,1427,1282,982,581
AAAS,1647,1570,1302,864
ZNRD1ASP,52,54,48,58
PRRT1,75,42,83,76
EGFL8,73,63,72,42
HCG4B,16,21,35,21
FXR1,2339,2505,2979,1768
YEATS4,464,383,353,220
ILKAP,578,555,474,323
NPL,96,94,95,49
TMPRSS5,5,3,3,3
CDK2AP1,4580,4592,3464,2528
ACTN4,11920,11574,18751,13181
IFT88,450,498,599,384
GJA9,3,5,3,3
TUBB1,41,41,45,23
WNT5B,13,18,10,5
SLC2A10,625,402,1353,504
KCNH6,4,4,10,5
SLC25A32,1571,1427,1219,719
COLEC12,4,5,6,3
CLPTM1L,3438,2963,2867,1758
PABPN1,2925,2670,3098,1929
CALR,16933,16155,21021,13217
DPF3,10,14,43,21
GPR68,65,61,113,64
AP3B2,19,22,53,38
ANP32A,5969,5527,5519,3070
CALU,4805,4653,5484,3191
NPRL3,2805,2438,2677,1723
GAN,1164,1128,1736,1042
CAMK4,81,89,163,109
SLC7A5,50760,32437,53490,23857
TAF15,4257,4122,3467,1961
POLR2M,368,316,390,250
PTDSS2,639,522,682,498
GPR63,120,92,57,48
SYNC,386,441,439,264
HM13,4773,4135,6901,4111
RND2,69,62,82,49
MOB2,186,159,202,128
ITFG1,897,893,1648,952
SGPP1,1127,843,1272,726
SLC38A1,17758,18968,20134,15047
TMX1,2011,1837,1746,1105
LRRC3,132,141,69,54
GDPD5,147,79,158,65
FBXO38,507,587,855,564
TDRD3,266,261,329,248
STMN4,0,1,18,5
VOPP1,1341,1240,1328,881
CYRIA,22,25,62,64
RCC1L,1911,1701,1875,1174
YIPF5,785,843,1564,887
INTS14,1456,1385,1738,1057
MAGED4B,8,8,18,21
FAM117A,207,171,307,190
TRIM11,627,536,732,444
LMAN2L,541,569,588,373
C1orf21,553,775,856,787
NDEL1,608,570,707,451
CSRNP2,1095,1172,1423,1081
TXNDC5,3171,2825,2620,1599
ACTL8,45,39,9,4
CLPB,2081,1828,1916,1177
MIR600HG,92,99,96,90
PDRG1,1046,1035,1173,765
ANKRD13C,660,600,862,499
APOLD1,27,27,41,17
YJU2B,298,263,324,237
GFOD2,803,866,1016,687
PLA2G12A,1460,1328,1963,1241
CAMK2B,90,83,268,157
CDADC1,117,92,132,77
TRIM8,1307,1141,1929,1099
URM1,2166,2027,2764,1580
NECTIN4,569,532,1505,919
FIP1L1,977,935,930,548
SNX27,1750,1689,2155,1327
COIL,1386,1277,1676,1027
FAM83D,2192,2154,393,232
ANP32E,4141,3950,1058,736
NIPA2,2015,1868,1747,1054
TMEM163,4,13,4,4
ACSBG2,4,4,2,2
CAB39L,189,246,349,259
ITM2C,112,139,129,81
TSPAN14,1924,1862,2966,1931
CDT1,2553,2175,249,158
KAZALD1,734,594,1622,832
UNC93B1,372,295,406,244
DIAPH3,785,751,271,171
TRMT1L,764,770,1210,866
TSC22D4,734,635,1029,690
TSSK3,18,14,48,24
MAP1LC3B,1849,1707,3404,1993
AKAP1,4166,3353,3124,1743
CCNL2,1526,1371,2595,1647
VMP1,11695,11636,23239,11997
C6orf62,3758,3596,4201,2593
ISCA1,828,808,962,516
REXO5,442,397,150,95
AMN,412,384,591,363
CAMK2D,595,519,715,434
SLC14A2,2,1,8,4
DOCK8,669,859,1356,1046
PPP1R14C,19,22,18,22
SF3A2,1630,1400,1246,741
ELL,557,460,689,472
TRIM7,170,167,115,68
NUAK2,126,128,136,110
TIGD6,227,192,347,194
RNF170,100,144,305,191
SLCO5A1,713,531,1297,2021
CAMK2G,1164,1207,1636,1048
NETO2,989,1032,741,494
VANGL1,2687,2514,2815,1860
TRIM56,1033,1166,1497,1018
SBF2,481,462,610,492
RNF146,616,633,938,618
SPRY4,232,172,248,134
ST6GALNAC5,10,19,30,16
TMEM14B,1450,1324,1334,840
ZNF205-AS1,60,68,82,56
SFXN3,247,206,449,254
ZNF611,412,388,520,441
MED25,1211,1107,1341,879
SHARPIN,762,662,1056,669
ZNF239,497,482,392,265
ARPC5L,3026,2818,2710,1610
ISG20L2,2354,2005,2111,1268
RAB1B,6356,5892,7579,4716
LAS1L,878,776,569,385
HYI,118,97,138,103
FAHD1,2150,2079,2954,1816
SYMPK,2690,2175,3017,1815
QTRT1,869,710,960,586
SLIRP,2271,2024,1977,1088
SLC25A28,520,495,338,170
CAMLG,1043,927,1074,615
CLPP,1066,889,917,541
ABHD17A,687,629,766,448
CABLES2,1047,1112,731,534
SEH1L,1334,1189,845,532
DPF1,152,113,41,33
KIF18A,653,718,84,57
ZNF93,313,277,144,101
HDHD3,742,672,1202,740
MKKS,1638,1564,1670,1039
NCOA3,32462,34251,42319,29921
NRIP1,2737,2390,4041,2346
CHAF1B,746,698,137,85
GATD3,1202,1088,1580,1070
CANX,29053,27368,28600,18557
DGCR6,186,175,183,119
LZTR1,841,782,1230,836
CLTCL1,138,183,252,299
CAPG,136,134,319,232
ESS2,513,485,411,263
SYN3,2,3,49,22
GTPBP6,2463,2114,2076,1400
PUDP,937,899,1376,883
AKAP17A,1247,1255,1163,857
PNPLA4,227,221,488,282
CAPN1,3947,3853,10275,6265
ZRSR2,318,310,504,305
USP11,2358,2223,2474,1691
USP9X,6443,6101,8003,5361
CAPN2,1290,929,4622,2160
RBM10,3102,2672,2680,1707
KDM5C,4406,4140,6198,3946
SMC1A,6234,6306,3776,2589
CAPNS1,7420,6657,11435,6690
NAA10,2210,1871,1972,1232
F8A1,402,378,515,315
UBL4A,1474,1450,864,553
TMEM187,339,320,317,207
CAPN6,10,4,7,5
LAGE3,551,511,436,294
SLC10A3,1438,1323,656,418
CAPS,31,29,77,46
USP9Y,8,5,10,6
ARID1A,1934,2008,1861,1474
CAPZA1,4689,4717,6423,4002
DYSF,18,22,35,43
COLQ,2,3,14,3
SERF1A,342,303,460,278
H4C9,8,16,11,9
TRRAP,4870,4836,4385,3743
CAPZA2,2610,2517,2951,1889
PICALM,6209,6268,7487,4846
SNN,515,605,830,508
ACOX2,194,116,135,83
CAST,2883,2769,7832,3438
ACOX3,862,723,1126,610
AXIN1,2319,1957,1849,1199
AXIN2,46,21,55,19
BAP1,1374,1328,1476,925
BRAP,889,807,1159,697
CDC7,496,472,149,112
CDC45,1754,1686,140,138
CAPZB,4210,4103,5740,3818
EOMES,111,101,360,202
FZD1,354,332,272,209
FZD4,583,542,617,417
FZD6,1653,1737,2214,1595
FZD7,697,623,542,352
FZD8,54,49,11,15
FZD9,23,18,6,5
H2AC13,26,27,124,78
CARS1,1502,1232,1766,922
H2AC15,5,6,13,5
H2AC14,14,15,29,24
H2AC16,9,8,10,4
H2AC6,197,183,388,210
H2AC17,37,29,43,18
H2AC18,224,181,848,481
H2AC20,129,133,161,107
H2BC8,54,64,131,95
PITPNM3,120,148,79,104
H2BC13,13,16,14,7
ELOVL3,12,12,5,3
H2BC15,40,40,43,33
H2BC7,18,16,21,17
TCF7L1,78,116,42,38
H2BC6,65,54,83,47
ADPGK,1141,1068,1034,670
SH3BGRL3,972,891,1346,836
SF3B5,1744,1521,1866,1130
INO80B,346,295,538,317
PUS7L,618,572,741,439
H2BC9,39,53,38,32
DRC3,10,16,32,14
ABHD11,1784,1670,2492,1486
RAB33B,317,324,344,252
H2BC10,5,4,6,4
EMC6,390,347,366,224
CDCA3,1572,1507,88,79
MXD3,2064,1856,1202,729
APH1B,242,318,513,344
GLT8D2,8,11,7,7
H2BC4,74,67,169,94
KATNAL2,89,86,99,61
DOHH,533,489,436,280
ARHGAP24,2,14,0,7
DDX59,468,501,694,400
H2BC17,33,30,27,15
PUS3,194,164,247,116
EPPK1,4807,4724,8513,8923
SCRT1,4,5,4,3
H2BC21,496,513,2860,1730
CASP2,1496,1429,923,629
H3C1,13,9,38,28
H3C4,18,13,45,27
H3C6,10,14,89,64
ODAD4,7,8,15,10
NUF2,889,896,53,44
FAM110A,766,626,892,532
AIF1L,3783,3847,3103,2284
DNAL1,389,407,643,414
RILP,37,21,57,34
COG3,1170,1140,1806,1189
UCK1,715,982,781,630
H3C8,46,44,18,9
H3C12,5,7,5,3
H3C10,59,62,288,190
H3C2,6,7,6,0
TMUB1,1145,1066,1053,643
THAP2,67,75,79,55
AKR1E2,153,133,188,109
RASSF5,42,45,28,23
NUDT12,595,554,824,558
SOX7,13,7,6,7
BCL2L12,1522,1394,621,378
CASP3,412,399,352,200
H4C4,6,5,4,2
TMEM47,6,5,2,1
CCM2,870,825,759,510
GUCD1,2767,2420,3349,1852
AMMECR1L,1176,1116,1491,1001
C18orf21,194,216,289,157
H4C12,46,39,44,30
H4C11,43,39,44,29
C19orf12,371,413,530,319
ZMIZ2,2251,2072,2839,1784
C11orf68,485,423,577,403
H4C3,6,3,0,5
RAMAC,432,422,622,340
FAM107B,1064,998,1488,849
SELENOO,446,389,468,319
CCDC3,1,4,6,2
FAM167A,86,77,79,33
H4C8,16,24,108,65
DYNLRB2,16,21,53,18
DYNLRB1,1193,1293,1785,1160
TLN2,740,736,516,381
PARP9,694,566,1278,675
SESN2,594,494,3051,1654
H4C5,14,6,10,10
CRISPLD1,124,158,170,149
CD99L2,532,500,771,449
HSDL1,2040,2057,2044,1272
RPS6KL1,352,326,887,586
RHNO1,1076,965,579,378
TRAPPC9,1344,1246,2138,1237
SH3BGRL2,252,321,616,452
CASP4,10,9,19,15
H4C14,178,154,208,123
JAM3,7,7,1,1
FERMT3,20,20,28,23
TRPT1,368,371,579,372
NRIP2,26,40,43,15
ESPN,540,441,1179,726
CRISPLD2,244,211,493,315
YPEL3,260,274,1355,713
HYAL3,119,88,142,98
TLCD3B,17,21,5,7
INHBE,28,11,3,3
RIOK1,625,552,438,304
SLC25A18,73,67,127,78
ATG10,288,318,363,257
ITCH,1792,1814,2663,1680
MARVELD1,864,749,1009,597
GRWD1,1610,1321,1143,675
ZNF484,148,152,226,128
L3MBTL2,782,616,790,457
LONP2,2644,2265,4460,2280
TAS1R3,10,7,20,7
RBP5,12,8,11,25
RBM4B,610,548,685,448
FRMD8,514,534,744,516
ARMC10,956,877,1058,608
MAD1L1,651,629,581,370
NME5,4,6,9,7
SYT15,95,66,220,149
ESYT3,57,33,35,32
SYT16,3,5,8,26
SETDB2,172,150,218,161
ROPN1L,3,4,9,3
ANGPTL6,33,34,35,23
KLF16,1141,960,721,383
FSD1L,202,186,175,127
TMTC1,34,37,10,10
ATAD3B,857,764,603,415
TAF3,834,832,1197,639
RSPH3,175,184,463,310
TMEM120A,411,350,771,436
HMCN1,3028,3626,4427,4130
TBC1D10A,582,602,936,621
TM2D2,676,642,914,562
CDCA7,1075,1011,135,101
TSPAN10,6,9,5,6
PRSS27,76,68,105,80
FGFBP2,11,18,14,16
SPATA9,147,183,181,153
SNX25,316,322,372,257
KCTD10,1692,1596,2654,1616
KRTAP3-1,2,2,15,5
CASP6,563,627,643,412
HASPIN,313,313,28,22
STARD3NL,628,642,588,329
STK40,1423,1369,2340,1332
SPRTN,265,302,379,255
HDAC10,765,633,1022,628
RASSF4,15,7,30,12
LRMDA,1,2,15,2
EIF2A,2498,2247,3083,1828
PIP5K1A,2842,2866,3189,2363
TATDN1,2600,2524,3373,1968
TM2D1,206,218,270,166
IMMP2L,27,32,42,27
PIP5K1B,29,17,35,18
NACA4P,579,508,783,477
RACGAP1P1,155,128,22,11
FRMD8P1,4,3,6,5
SLC4A11,184,198,325,169
PIP4K2B,1230,1256,1541,1070
PLA2G6,174,94,228,108
IFI27L2,99,105,183,119
TSSK6,31,30,35,21
SPNS1,1451,1280,2127,1255
FAM234A,4649,4140,4578,2937
NCALD,2,8,22,13
FAM172A,426,443,698,436
PLA2G10,31,21,146,58
BRIP1,7979,8841,1850,1597
CTTNBP2,0,2,7,5
KREMEN1,348,327,377,269
CASP7,1187,1180,1608,1132
TMPRSS13,439,456,641,389
B3GNT5,148,202,195,173
SLC25A11,1691,1544,1261,833
OBSCN,405,382,505,532
EMILIN2,12,9,8,4
SPARCL1,7,10,10,4
SPOP,1620,1631,2001,1319
PCDHB19P,10,6,16,10
KATNAL1,342,436,230,174
MND1,296,309,23,16
WDR54,824,816,775,589
ADGRV1,441,488,386,333
SRPX,44,31,98,54
RBM48,169,201,221,135
